id,name,birthdate,deathdate
1931,David Slade,22/07/1964,
1932,David Soren,,
1933,David Sparrow,04/03/1962,
1934,David Suchet,02/05/1946,
1935,David Sullivan,04/02/1968,
1936,David Thewlis,20/03/1963,
1937,David Thornton,12/06/1953,
1938,David Threlfall,12/10/1953,
1939,David Twohy,18/10/1955,
1940,David Wain,01/08/1969,
1941,David Walliams,20/08/1971,
1942,David Walton,27/10/1978,
1943,David Warbeck,17/11/1941,23/07/1997
1944,David Wayne,22/07/1964,
1945,David Webb Peoples,,
1946,David White,,
1947,David Winning,08/05/1961,
1948,David Winters,05/04/1939,
1949,David Worth,,
1950,David Yates,08/10/1963,
1951,David Zayas,15/08/1962,
1952,David Zucker,,
1953,Davis Guggenheim,03/11/1963,
1954,Dawn French,11/10/1957,
1955,Dax Flame,,
1956,Dayna Devon,20/03/1970,
1957,Dayo Okeniyi,,
1958,Dean Andrews,06/08/1963,
1959,Dean Dawson,,
1960,Dean DeBlois,07/06/1970,
1961,Dean Israelite,20/09/1984,
1962,Dean Jones,,
1963,Dean Parisot,,
1964,Dean Stockwell,05/03/1936,
1965,Dean Wright,,
1966,Deb Hagan,,
1967,Debbie Harry,01/07/1945,
1968,Debbie Reynolds,01/04/1932,28/12/2016
1969,Debi Derryberry,27/09/1960,
1970,Debi Mazar,13/08/1964,
1971,Deborah Anderson,,
1972,Deborah Foreman,12/10/1962,
1973,Deborah Kara Unger,12/05/1966,
1974,Deborah Kerr,30/09/1921,16/10/2007
1975,Deborah Mailman,14/07/1972,
1976,DÃ©borah RÃ©vy,,
1977,Deborah Twiss,22/12/1971,
1978,Deborra-Lee Furness,08/12/1955,
1979,Debra Granik,06/02/1963,
1980,Debra Lynn Hull,,
1981,Debra Messing,15/08/1968,
1982,Debra Monk,27/02/1949,
1983,Debra Paget,19/08/1933,
1984,Debra Winger,16/05/1955,
1985,Debrah Farentino,30/09/1959,
1986,Debrianna Mansini,,
1987,Dee Bradley Baker,31/08/1962,
1988,Dee Wallace,14/12/1948,
1989,Deems Taylor,1885-12-22,03/07/1966
1990,Deepa Mehta,01/01/1950,
1991,DeForest Kelley,20/01/1920,11/06/1999
1992,Deirdre Lorenz,,
1993,Del Zamora,,
1994,Dell Yount,,
1995,Della Reese,06/07/1931,
1996,Delphine ChanÃ©ac,14/11/1978,
1997,Delroy Lindo,18/11/1952,
1998,Demetri Martin,25/05/1973,
1999,Demetrius Grosse,26/02/1981,
2000,Demi Moore,11/11/1962,
2001,DemiÃ¡n Bichir,01/08/1963,
2002,Demian Lichtenstein,,
2003,Dena Seidel,,
2004,Denden,23/01/1950,
2005,Dendrie Taylor,,
2006,Deneen Tyler,,
2007,Denholm Elliott,31/05/1922,06/10/1992
2008,Denis Lavant,17/06/1961,
2009,Denis Leary,18/08/1957,
2010,Denis O'Hare,17/01/1962,
2011,Denis Villeneuve,03/10/1967,
2012,Denise Boutte,19/01/1982,
2013,Denise Crosby,24/11/1957,
2014,Dennie Gordon,09/05/1953,
2015,Dennis Burkley,10/09/1945,14/07/2013
2016,Dennis Dugan,05/09/1946,
2017,Dennis Franz,28/10/1944,
2018,Dennis Gansel,04/10/1973,
2019,Dennis Hopper,17/05/1936,29/05/2010
2020,Dennis Iliadis,,
2021,Dennis L.A. White,,
2022,Dennis Quaid,09/04/1954,
2023,Denny Kirkwood,20/03/1975,
2024,Denys Arcand,25/06/1941,
2025,Denzel Washington,28/12/1954,
2026,Deon Richmond,02/04/1978,
2027,Deon Taylor,,
2028,Dequina Moore,,
2029,DeRay Davis,,
2030,Derek Brandon,,
2031,Derek Cianfrance,23/01/1974,
2032,Derek Graf,,
2033,Derek Jacobi,22/10/1938,
2034,Derek Jeter,27/05/1926,14/09/2006
2035,Derek Luke,24/04/1974,
2036,Derek Magyar,,
2037,Derek Mears,29/04/1972,
2038,Derek Wayne Johnson,23/02/1983,
2039,Derick Martini,02/12/1972,
2040,Dermot Crowley,19/03/1947,
2041,Derrick Borte,07/12/1967,
2042,Deryck Broom,,
2043,Des McAnuff,19/06/1952,
2044,Desmond Askew,17/12/1972,
2045,Desmond Llewelyn,12/09/1914,19/12/1999
2046,DeVaughn Nixon,,
2047,Devid Striesow,01/10/1973,
2048,Devin Ratray,11/01/1977,
2049,Devon Murray,28/10/1988,
2050,DeWayne Warren,,
2051,Dewey Nicks,22/04/1961,
2052,Dexter Fletcher,31/01/1966,
2053,Diahann Carroll,17/07/1935,
2054,Dian Bachar,26/10/1970,
2055,Diana Maria Riva,22/07/1969,
2056,Diana Ross,26/03/1944,
2057,Diana Scarwid,27/08/1955,
2058,Diana Vickers,30/07/1991,
2059,Diane Baker,25/02/1938,
2060,Diane English,,
2061,Diane Keaton,05/01/1946,
2062,Diane Ladd,29/11/1935,
2063,Diane Sorrentino,,
2064,Diane Venora,10/08/1952,
2065,Dianne Wiest,28/03/1948,
2066,Dichen Lachman,22/02/1982,
2067,Dick Cavett,19/11/1936,
2068,Dick Cheney,06/05/1908,02/01/1971
2069,Dick Clark,30/11/1929,18/04/2012
2070,Dick Powell,14/11/1904,02/01/1963
2071,Dick Richards,10/08/1912,17/03/1967
2072,Dick Van Patten,09/12/1928,23/06/2015
2073,Dickie Jones,25/02/1927,07/07/2014
2074,Diedrich Bader,24/12/1966,
2075,Diego Ramos,29/11/1972,
2076,Diego Velazquez,,
2077,Diganth,,
2078,Dileep Raj,,
2079,Diljit Dosanjh,,
2080,Dillon Casey,29/10/1983,
2081,Dilshad Vadsaria,14/09/1977,
2082,Dimple Kapadia,08/06/1957,
2083,Dinah Manoff,25/01/1956,
2084,Dinesh D'Souza,25/04/1961,
2085,Diora Baird,06/04/1983,
2086,Dirk Bogarde,28/03/1921,08/05/1999
2087,Dito Montiel,26/07/1965,
2088,Divine,19/10/1945,07/03/1988
2089,DJ Pooh,,
2090,Djimon Hounsou,24/04/1964,
2091,DMX,,
2092,Dolly Parton,19/01/1946,
2093,Dom DeLuise,01/08/1933,04/05/2009
2094,Domenick Lombardozzi,25/03/1976,
2095,Dominic Burns,,
2096,Dominic ColÃ³n,,
2097,Dominic Cooper,02/06/1978,
2098,Dominic Flores,,
2099,Dominic Monaghan,08/12/1976,
2100,Dominic Sena,26/04/1949,
2101,Dominick Brascia,,
2102,Dominik Castell,20/07/1965,
2103,Dominik GarcÃ­a-Lorido,16/08/1983,
2104,Dominique McElligott,03/05/1986,
2105,Dominique Othenin-Girard,13/02/1958,
2106,Dominique Sanda,11/03/1948,
2107,Don Ameche,31/05/1908,06/12/1993
2108,Don Bluth,13/09/1937,
2109,Don Brooks,,25/10/2000
2110,Don Cheadle,29/11/1964,
2111,Don Coscarelli,17/02/1954,
2112,Don Francks,28/02/1932,03/04/2016
2113,Don Gordon,29/09/1938,28/02/2016
2114,Don Hall,,
2115,Don Johnson,15/12/1949,
2116,Don Kempf,,
2117,Don Mancini,25/01/1963,
2118,Don McKellar,17/08/1963,
2119,Don McManus,08/11/1959,
2120,Don Michael Paul,17/04/1963,
2121,Don Pardo,17/12/1959,
2122,Don Rickles,08/05/1926,
2123,Don Scardino,17/02/1949,
2124,Don Siegel,26/10/1912,20/04/1991
2125,Don Stark,05/07/1954,
2126,Don Taylor,13/12/1920,29/12/1998
2127,Don Wallace,,
2128,Donald Austin,,
2129,Donald Faison,22/06/1974,
2130,Donald Gibb,04/08/1954,
2131,Donald Glover,25/09/1983,
2132,Donald Petrie,02/04/1954,
2133,Donald Pleasence,05/10/1919,02/02/1995
2134,Donald Rumsfeld,09/07/1932,
2135,Donald Sumpter,13/02/1943,
2136,Donald Trump,14/06/1946,
2137,Donald Watkins,,
2138,Donatas Banionis,28/04/1924,04/09/2014
2139,Dong-gun Jang,07/03/1972,
2140,Donna Murphy,07/03/1959,
2141,Donna Reed,27/01/1921,14/01/1986
2142,Donna Zovko,,
2143,Donnie Dunagan,16/08/1934,
2144,Donny Alamsyah,07/12/1978,
2145,Donny Boaz,,
2146,Donovan Scott,,
2147,Doona Bae,11/10/1979,
2148,Dorian Missick,15/01/1976,
2149,Dororthy Thorton,,
2150,Dorothy Lamour,10/12/1914,22/09/1996
2151,Dorothy Lyman,18/04/1947,
2152,Dottie Alexander,,
2153,Doug Atchison,,
2154,Doug Block,,
2155,Doug Bradley,07/09/1954,
2156,Doug Cockle,16/09/1970,
2157,Doug E. Doug,06/04/1968,
2158,Doug Lefler,,
2159,Doug Liman,24/07/1965,
2160,Douglas Aarniokoski,,
2161,Douglas Cheek,,
2162,Douglas Haase,,
2163,Douglas McGrath,02/02/1958,
2164,Douglas Smith,04/08/1966,
2165,Douglas Trumbull,08/04/1942,
2166,Dougray Scott,25/11/1965,
2167,Dov Tiefenbach,08/12/1981,
2168,Dove Cameron,15/01/1996,
2169,Dr. Dre,18/02/1965,
2170,Drake,24/10/1986,
2171,Drake Bell,27/06/1986,
2172,Drake Doremus,29/03/1983,
2173,Drea de Matteo,19/01/1972,
2174,Dreama Walker,20/06/1986,
2175,Dree Hemingway,04/12/1987,
2176,Drew Barrymore,22/02/1975,
2177,Drew Carey,23/05/1958,
2178,Drew Fuller,19/05/1980,
2179,Drew Goddard,26/02/1975,
2180,Drew Powell,19/01/1976,
2181,Drew Sidora,01/05/1985,
2182,Drew Waters,20/08/1973,
2183,Dror Moreh,,
2184,Duane Jones,02/02/1937,22/07/1988
2185,Duane Journey,,
2186,Duke Johnson,20/03/1979,
2187,DulÃ© Hill,,
2188,Duncan Jones,30/05/1971,
2189,Duncan Tucker,,
2190,Dustin Diamond,07/01/1977,
2191,Dustin Fitzsimons,19/12/1986,
2192,Dustin Hoffman,08/08/1937,
2193,Dustin Ingram,25/01/1990,
2194,Dustin Lance Black,10/06/1974,
2195,Dustin Milligan,28/07/1985,
2196,Dustin Nguyen,17/09/1962,
2197,Dwayne Johnson,02/05/1972,
2198,Dwight H. Little,13/01/1956,
2199,Dwight Henry,,
2200,Dwight Yoakam,23/10/1956,
2201,Dyan Cannon,04/01/1937,
2202,Dylan Authors,,
2203,Dylan Baker,07/10/1959,
2204,Dylan Bank,,
2205,Dylan Kussman,,
2206,Dylan Minnette,29/12/1996,
2207,Dylan Moran,03/11/1971,
2208,Dylan Schombing,,
2209,Dylan Walsh,17/11/1963,
2210,E. Elias Merhige,,
2211,E.L. Katz,07/01/1981,
2212,Eamonn Walker,12/06/1962,
2213,Earl Cameron,08/08/1917,
2214,Eartha Kitt,17/01/1927,25/12/2008
2215,Ebon Moss-Bachrach,17/08/1978,
2216,Ed Begley Jr.,16/09/1949,
2217,Ed Decter,,
2218,Ed Gass-Donnelly,17/08/1977,
2219,Ed Harris,28/11/1950,
2220,Ed Lauter,30/10/1938,16/10/2013
2221,Ed Quinn,26/02/1968,
2222,Ed Skrein,29/03/1983,
2223,Ed Speleers,07/04/1988,
2224,Ed Stoppard,16/09/1974,
2225,Ed Wynn,1886-11-09,19/06/1966
2226,Eddie 'Piolin' Sotelo,,
2227,Eddie Albert,22/04/1906,26/05/2005
2228,Eddie Baroo,25/09/1968,
2229,Eddie Cahill,15/01/1978,
2230,Eddie Cibrian,16/06/1973,
2231,Eddie Deezen,06/03/1957,
2232,Eddie Griffin,15/07/1968,
2233,Eddie Izzard,07/02/1962,
2234,Eddie Jemison,,
2235,Eddie Jones,,
2236,Eddie Kaye Thomas,31/10/1980,
2237,Eddie Marsan,09/06/1968,
2238,Eddie O'Flaherty,15/03/1968,
2239,Eddie Peng,24/03/1982,
2240,Eddie Redmayne,06/01/1982,
2241,Eddie Rouse,02/07/1954,07/12/2014
2242,Eddie Spears,29/11/1982,
2243,Eddie Vedder,23/12/1964,
2244,Eden Riegel,01/01/1981,
2245,Edgar Arreola,,
2246,Edgar Buchanan,20/03/1903,04/04/1979
2247,Edgar RamÃ­rez,25/03/1977,
2248,Edgar Tancangco,,
2249,Edgar Wright,18/04/1974,
2250,Edi Gathegi,10/03/1979,
2251,Edie Falco,05/07/1963,
2252,Edith Massey,28/05/1918,24/10/1984
2253,Edmund McMillen,,
2254,Edouard Baer,01/12/1966,
2255,Eduard FernÃ¡ndez,25/08/1964,
2256,Eduardo Noriega,01/08/1973,
2257,Eduardo VerÃ¡stegui,21/05/1974,
2258,Edward Andrews,,
2259,Edward Burns,,
2260,Edward Conna,19/06/1968,
2261,Edward Dmytryk,04/09/1908,01/07/1999
2262,Edward Everett Horton,1886-03-18,29/09/1970
2263,Edward Fox,13/04/1937,
2264,Edward Hall,,
2265,Edward Norton,18/08/1969,
2266,Edward Zwick,08/10/1952,
2267,Edwin Hodge,26/01/1985,
2268,Edwin Neal,12/07/1945,
2269,Efram Potelle,,
2270,Eileen Brennan,03/09/1932,28/07/2013
2271,Eion Bailey,08/06/1976,
2272,Ejner Federspiel,1896-08-12,24/11/1981
2273,Ekachai Uekrongtham,,
2274,Elaine Bromka,06/01/1950,
2275,Elaine Cassidy,31/12/1979,
2276,Elaine Hendrix,28/12/1970,
2277,Elaine May,21/04/1932,
2278,Elaine Stritch,02/02/1925,17/07/2014
2279,Eldar Rapaport,,
2280,Elden Henson,30/08/1977,
2281,Elea Oberon,,
2282,Eleanor Bron,14/03/1938,
2283,Eleanor Parker,26/06/1922,09/12/2013
2284,Elena Anaya,17/07/1975,
2285,Elena Lyadova,25/12/1980,
2286,Elena Satine,24/11/1987,
2287,Eli Craig,25/05/1972,
2288,Eli Marienthal,06/03/1986,
2289,Eli Roth,18/04/1972,
2290,Elia Kazan,07/09/1909,28/09/2003
2291,Elijah Kelley,01/08/1986,
2292,Elina Abai Kyzy,,
2293,Elina Alminas,,
2294,Elio Germano,25/09/1980,
2295,Elisa Donovan,03/02/1971,
2296,Elisabeth Harnois,26/05/1979,
2297,Elise Muller,15/08/1967,
2298,Elise Neal,14/03/1966,
2299,Elissa Dowling,,
2300,Eliza Coupe,06/04/1981,
2301,Elizabeth Allen Rosenbaum,,
2302,Elizabeth Banks,10/02/1974,
2303,Elizabeth Berkley,28/07/1972,
2304,Elizabeth Berrington,03/08/1970,
2305,Elizabeth Blackmore,,
2306,Elizabeth Daily,11/09/1961,
2307,Elizabeth Debicki,,
2308,Elizabeth MacRae,22/02/1936,
2309,Elizabeth McGovern,18/07/1961,
2310,Elizabeth Meriwether,,
2311,Elizabeth Perkins,18/11/1960,
2312,Elizabeth Stenholt,,
2313,Elizabeth Streb,,
2314,Ella Joyce,12/06/1954,
2315,Ella Wahlestedt,01/08/1998,
2316,Ellar Coltrane,27/08/1994,
2317,Ellen Albertini Dow,16/11/1913,04/05/2015
2318,Ellen Barkin,16/04/1954,
2319,Ellen Block,,
2320,Ellen Burstyn,07/12/1932,
2321,Ellen Ross,25/10/1928,
2322,Ellen Sandweiss,30/12/1958,
2323,Ellen Wong,,
2324,Ellia Thompson,,
2325,Ellie Cornell,15/12/1963,
2326,Ellie Kendrick,06/06/1990,
2327,Elliott Gould,29/08/1938,
2328,Ellory Elkayem,12/08/1970,
2329,Elodie Yung,22/02/1981,
2330,Elpidia Carrillo,16/08/1961,
2331,Elsa Lanchester,28/10/1902,26/12/1986
2332,Elton John,25/03/1947,
2333,Elvis Nolasco,,
2334,Elvis Tsui,10/10/1960,
2335,Elyas M'Barek,29/05/1982,
2336,Embeth Davidtz,11/08/1965,
2337,Eme Ikwuakor,,
2338,Emile Ardolino,09/05/1943,20/11/1993
2339,Ã‰mile Gaudreault,,
2340,Emilia Clarke,23/10/1986,
2341,Emilia Fox,31/07/1974,
2342,Ã‰milie Dequenne,29/08/1981,
2343,Emilio Estefan Jr.,04/03/1953,
2344,Emilio Estevez,12/05/1962,
2345,Emily Alyn Lind,,
2346,Emily Baldoni,03/08/1984,
2347,Emily Dell,,
2348,Emily Gorell,,
2349,Emily Meade,10/01/1989,
2350,Emily Nelson,,
2351,Emily Osment,10/03/1992,
2352,Emily Pearson,,
2353,Emily Podleski,15/05/1979,
2354,Emily Ratajkowski,07/06/1991,
2355,Emily Rios,27/04/1989,
2356,Emily Watson,14/01/1967,
2357,Emily Wickersham,26/04/1984,
2358,Emily Young,,
2359,Emir Kusturica,24/11/1954,
2360,Emma Bell,17/12/1986,
2361,Emma Caulfield,08/04/1973,
2362,Emma de Caunes,09/09/1976,
2363,Emma Eliza Regan,,
2364,Emma Kenney,14/09/1999,
2365,Emma Lung,,
2366,Emma Stone,06/11/1988,
2367,Emma Watson,15/04/1990,
2368,Emma-Kate Croghan,,
2369,Emmanuel Kabongo,25/12/1986,
2370,Emmanuelle BÃ©art,14/08/1963,
2371,Emmanuelle Bercot,06/11/1967,
2372,Emmanuelle Riva,24/02/1927,27/01/2017
2373,Emmanuelle Seigner,22/06/1966,
2374,Emmanuelle Vaugier,23/06/1976,
2375,Emraan Hashmi,24/03/1979,
2376,Enrico Colantoni,14/02/1963,
2377,Enrique Begne,,
2378,Enrique Iglesias,08/05/1975,
2379,Enrique Murciano,09/07/1973,
2380,Enrique VillÃ©n,,
2381,Enzo Petito,1897-07-24,17/07/1967
2382,Eoin Macken,15/04/1987,
2383,Eric Ambriz,,
2384,Eric Blakeney,14/09/1959,
2385,Eric Blore,1887-12-23,02/03/1959
2386,Eric Bress,25/03/1962,
2387,Eric Brevig,,
2388,Eric Bross,21/01/1964,
2389,Eric Bugbee,,
2390,Eric Cantona,24/05/1966,
2391,Eric Christmas,19/03/1916,22/07/2000
2392,Eric Dane,09/11/1972,
2393,Eric Darnell,,
2394,Eric Eason,,
2395,Eric Elmosnino,02/05/1964,
2396,Eric England,23/02/1988,
2397,Eric Godon,07/02/1959,
2398,Eric Idle,29/03/1943,
2399,Eric Jacobson,25/07/1970,
2400,Eric Johnson,28/04/1974,
2401,Eric Lange,19/02/1973,
2402,Eric Lartigau,,
2403,Eric Lavaine,,
2404,Eric Leighton,06/11/1962,
2405,Eric Lloyd,19/05/1986,
2406,Eric Mabius,22/04/1971,
2407,Eric McCormack,18/04/1963,
2408,Eric Mendelsohn,01/11/1964,
2409,Eric Mendenhall,,
2410,Eric Nicholas,,
2411,Eric Peterson,02/10/1946,
2412,Eric Schaeffer,22/01/1962,
2413,Eric Schlosser,17/08/1959,
2414,Eric Schweig,19/06/1967,
2415,Eric Sheffer Stevens,19/06/1972,
2416,Eric Stoltz,30/09/1961,
2417,Eric Stonestreet,09/09/1971,
2418,Eric Stuart,18/10/1967,
2419,Eric Styles,,
2420,Eric Sykes,04/05/1923,04/07/2012
2421,Ã‰ric Tessier,1883-05-28,01/06/1973
2422,Eric Valette,,
2423,Eric Winter,17/07/1976,
2424,Eric Worre,,
2425,Erica Leerhsen,14/02/1976,
2426,Erica Linz,,
2427,Erick Avari,13/04/1952,
2428,Erick Elias,23/06/1980,
2429,Ericson Core,,
2430,Erik Canuel,,
2431,Erik Estrada,16/03/1949,
2432,Erik Knudsen,25/03/1988,
2433,Erik Palladino,10/05/1968,
2434,Erik Per Sullivan,12/07/1991,
2435,Erik White,,
2436,Erika Christensen,19/08/1982,
2437,Erin Bethea,12/08/1982,
2438,Erin Boyes,,
2439,Erin Cipolletti,,
2440,Erin Daniels,09/10/1972,
2441,Erin Fitzgerald,21/09/1972,
2442,Erin Gray,07/01/1950,
2443,Erin O'Brien,31/01/1975,
2444,Erin Pitt,,
2445,Erin Wasson,20/01/1982,
2446,Erland Josephson,15/06/1923,25/02/2012
2447,Ernest R. Dickerson,25/06/1951,
2448,Ernie Barbarash,,
2449,Ernie Reyes Jr.,15/01/1972,
2450,Eros Vlahos,13/01/1995,
2451,Errol Flynn,20/06/1909,14/10/1959
2452,Errol Morris,05/02/1948,
2453,Esai Morales,01/10/1962,
2454,Essence Atkins,07/02/1972,
2455,Essie Davis,,
2456,Estella Warren,23/12/1978,
2457,Estelle Parsons,20/11/1927,
2458,Esther Williams,08/08/1921,06/06/2013
2459,Etan Cohen,,
2460,Ethan Coen,21/09/1957,
2461,Ethan Embry,13/06/1978,
2462,Ethan Maniquis,,
2463,Ethan Peck,02/03/1986,
2464,Ethan Stiefel,,
2465,Ethan Suplee,25/05/1976,
2466,Ã‰tienne Faure,,
2467,EugÃ¨ne LouriÃ©,08/04/1903,26/05/1991
2468,Eugene Roche,22/09/1928,28/07/2004
2469,Eugenia Khirivskaya,03/09/1981,
2470,Eugenie Bondurant,27/04/1961,
2471,Eugenio Derbez,02/09/1962,
2472,Eva Amurri Martino,15/03/1985,
2473,Eva Birthistle,,
2474,Eva Boehnke,,
2475,Eva Bourne,,
2476,Eva Carrozza,,
2477,Eva Green,06/07/1980,
2478,Eva LaRue,27/12/1966,
2479,Eva Marcille,30/10/1984,
2480,Eva Marie Saint,04/07/1924,
2481,Evan Goldberg,,
2482,Evan Jones,,
2483,Evan McGuire,,
2484,Evan Parke,02/01/1968,
2485,Evan Ross,26/08/1988,
2486,Eve,10/11/1978,
2487,Eve Ensler,25/05/1953,
2488,Eve Plumb,29/04/1958,
2489,Evelyn Jefferson,,
2490,Everett McGill,21/10/1945,
2491,Everett Sloane,01/10/1909,06/08/1965
2492,Evgeniy Mironov,29/11/1966,
2493,Ewen Bremner,23/01/1972,
2494,Ewen Solon,07/09/1917,07/07/1985
2495,Exie Booker,,
2496,Eytan Fox,21/08/1964,
2497,Ezra Miller,30/09/1992,
2498,F. Gary Gray,17/07/1969,
2499,F. Murray Abraham,24/10/1939,
2500,FabiÃ¡n Bielinsky,03/02/1959,28/06/2006
2501,Fabian Bolin,,
2502,Fabio Testi,02/08/1941,
2503,Fabrice Luchini,01/11/1951,
2504,Facundo Lombard,,
2505,Fadia Nadda,,
2506,Faizon Love,14/06/1968,
2507,Fana Mokoena,13/05/1971,
2508,Fann Wong,27/01/1971,
2509,Fanny Ardant,22/03/1949,
2510,Fares Fares,29/04/1973,
2511,Farrah Fawcett,02/02/1947,25/06/2009
2512,Fatih Akin,25/08/1973,
2513,Fay Masterson,15/04/1974,
2514,Faye Dunaway,14/01/1941,
2515,Fede Alvarez,09/02/1978,
2516,Fedja van HuÃªt,21/06/1973,
2517,Fedor Bondarchuk,09/05/1967,
2518,Felicia Pearson,18/05/1980,
2519,Felicity Huffman,09/12/1962,
2520,Felix Avitia,03/10/2002,
2521,FÃ©lix Moati,04/08/1989,
2522,Fenella Woolgar,04/08/1969,
2523,Fenton Bailey,,
2524,Ferdinando Vetere,,
2525,Fereshteh Sadre Orafaiy,,
2526,Fergie,27/03/1975,
2527,Fernanda Andrade,,
2528,Fernanda Machado,10/10/1980,
2529,Fernanda Montenegro,16/10/1929,
2530,Fernanda Torres,14/09/1965,
2531,Fernando Baez Mella,,
2532,Fernando Cayo,22/04/1968,
2533,Fernando LeÃ³n de Aranoa,26/05/1968,
2534,Fernando Meirelles,09/11/1955,
2535,Fernando Rey,20/09/1917,09/03/1994
2536,Feroz Abbas Khan,,
2537,Ferzan Ozpetek,03/02/1959,
2538,Filippo Timi,27/02/1974,
2539,Fina Torres,25/04/1969,
2540,Finlay Currie,1878-01-20,09/05/1968
2541,Finn Ireland,,
2542,Finn Taylor,04/07/1958,
2543,Finn Wittrock,28/10/1984,
2544,Finola Hughes,29/10/1959,
2545,Fiona Dourif,30/10/1981,
2546,Fiona Glascott,22/11/1982,
2547,Fiona Shaw,10/07/1958,
2548,Fionnula Flanagan,10/12/1941,
2549,Firass Dirani,29/04/1984,
2550,Fisher Stevens,27/11/1963,
2551,Flaco Navaja,,
2552,Flavio Parenti,,
2553,Flea,16/10/1962,
2554,Flint Beverage,,
2555,Florence Ayisi,,
2556,Florence Henderson,14/02/1934,24/11/2016
2557,Florent-Emilio Siri,02/03/1965,
2558,Floria Sigismondi,,
2559,Florian Henckel von Donnersmarck,02/05/1973,
2560,Florian Lukas,16/03/1973,
2561,Floyd Mutrux,25/06/1941,
2562,Forest Whitaker,15/07/1961,
2563,Forrest Tucker,12/02/1919,25/10/1986
2564,Fran Drescher,30/09/1957,
2565,Fran Kranz,13/07/1981,
2566,Frances Bavier,14/12/1902,06/12/1989
2567,Frances Bay,23/01/1919,15/09/2011
2568,Frances Conroy,13/11/1953,
2569,Frances Fisher,21/10/1956,27/12/2016
2570,Frances Lee McCain,28/07/1944,
2571,Frances O'Connor,12/06/1967,
2572,Francesc PagÃ¨s,,
2573,Francesca Capaldi,,
2574,Francesca Gregorini,07/08/1968,
2575,Francesca Rettondini,07/03/1971,
2576,Francine Blake,,
2577,Francis Capra,27/04/1983,
2578,Francis Ford Coppola,07/04/1939,
2579,Francis Lawrence,07/11/1951,
2580,Francis Lederer,1899-11-06,25/05/2000
2581,Franck Khalfoun,,
2582,Franco Nero,23/11/1941,
2583,Franco Zeffirelli,12/02/1923,
2584,FranÃ§ois BÃ©gaudeau,,
2585,FranÃ§ois BerlÃ©and,22/04/1952,
2586,FranÃ§ois Chau,26/10/1959,
2587,FranÃ§ois Cluzet,21/09/1955,
2588,FranÃ§ois Damiens,17/01/1973,
2589,FranÃ§ois Girard,12/01/1963,
2590,FranÃ§ois Ozon,15/11/1967,
2591,FranÃ§ois Truffaut,06/02/1932,21/10/1984
2592,FranÃ§oise Yip,04/09/1972,
2593,Frank Borzage,1894-04-23,19/06/1962
2594,Frank Capra,1897-05-18,03/09/1991
2595,Frank Coraci,03/02/1966,
2596,Frank Darabont,28/01/1959,
2597,Frank Dillane,21/04/1991,
2598,Frank Faylen,08/12/1905,02/08/1985
2599,Frank Finlay,06/08/1926,30/01/2016
2600,Frank Gerrish,14/03/1963,
2601,Frank Grillo,08/06/1965,
2602,Frank Hvam,12/09/1970,
2603,Frank LaLoggia,12/01/1954,
2604,Frank Langella,01/01/1938,
2605,Frank Lotito,,
2606,Frank Marshall,13/09/1946,
2607,Frank McHugh,1898-05-23,11/09/1981
2608,Frank Miller,27/01/1957,
2609,Frank Nissen,,
2610,Frank Oz,25/05/1944,
2611,Frank Perry,21/08/1930,29/08/1995
2612,Frank Rautenbach,12/05/1972,
2613,Frank Sebastiano,,
2614,Frank Vincent,04/08/1939,
2615,Frank Welker,12/03/1946,
2616,Frank Whaley,20/07/1963,
2617,Frankie Muniz,05/12/1985,
2618,Frankie Valli,03/05/1934,
2619,Franklin J. Schaffner,30/05/1920,02/07/1989
2620,Franky G,30/10/1965,
2621,Fred Armisen,04/12/1966,
2622,Fred Dekker,09/04/1959,
2623,Fred Durst,20/08/1970,
2624,Fred Gwynne,10/07/1926,02/07/1993
2625,Fred MacMurray,30/08/1908,05/11/1991
2626,Fred Malatesta,1889-04-18,08/04/1952
2627,Fred Melamed,13/05/1956,
2628,Fred Rogers,20/03/1928,27/02/2003
2629,Fred Savage,09/07/1976,
2630,Fred Schepisi,26/12/1939,
2631,Fred Tatasciore,,
2632,Fred Walton,,
2633,Fred Ward,30/12/1942,
2634,Fred Willard,18/09/1939,
2635,Fred Williamson,05/03/1938,
2636,Fred Wolf,13/09/1932,
2637,Fred Zinnemann,29/04/1907,14/03/1997
2638,Freddie Jones,12/09/1927,
2639,Freddy RodrÃ­guez,17/01/1975,
2640,FrÃ©dÃ©ric Auburtin,04/06/1962,
2641,FrÃ©dÃ©ric Forestier,,
2642,Frederic Forrest,23/12/1936,
2643,Frederick Weller,24/06/1947,
2644,Frederik Du Chau,15/05/1965,
2645,Fredro Starr,18/04/1971,
2646,French Stewart,20/02/1964,
2647,Frida Hallgren,16/12/1974,
2648,Fritz Kortner,1892-05-12,22/07/1970
2649,Fritz Lang,1890-12-05,02/08/1976
2650,G.J. Echternkamp,,
2651,G.W. Bailey,27/08/1944,
2652,G.W. Krauss,,
2653,Gabe IbÃ¡Ã±ez,07/06/1971,
2654,Gabor Csupo,29/09/1952,
2655,Gabourey Sidibe,06/05/1983,
2656,Gabriel AlmirÃ³n,,
2657,Gabriel Bateman,,
2658,Gabriel Beristain,09/05/1955,
2659,Gabriel Damon,23/04/1976,
2660,Gabriel Hogan,,
2661,Gabriel Iglesias,15/07/1976,
2662,Gabriel Millman,07/02/1986,
